ClassificationMethod,EmbeddingMethod,Predictors,Time,FilterStopwords,ConvertLower,FilterNumbers,FilterMinAppear,Accuracy,Precision,Recall,Specificity
LDA,CBoW200,200,9.56512,No,No,No,0,0.6008,0.5976,0.5868,0.6144
QDA,CBoW200,200,5.66534,No,No,No,0,0.6048,0.6449,0.4448,0.761
MDA,CBoW200,200,103.01808,No,No,No,0,0.6013,0.599,0.5833,0.6189
FDA,CBoW200,200,74.00064,No,No,No,0,0.601,0.5967,0.5932,0.6087
Tree,CBoW200,200,18.12609,No,No,No,0,0.5727,0.5685,0.5599,0.5853
RF,CBoW200,200,23216.796,No,No,No,0,0.6146,0.6051,0.6324,0.5973
LogisticRegression,CBoW200,200,17.94349,No,No,No,5,0.6042,0.5988,0.602,0.6064
LDA,CBoW200,200,13.85256,No,No,No,5,0.6077,0.6021,0.6067,0.6087
QDA,CBoW200,200,8.586819,No,No,No,5,0.6062,0.6016,0.6002,0.6121
MDA,CBoW200,200,153.24366,No,No,No,5,0.5941,0.5872,0.6002,0.5881
FDA,CBoW200,200,103.13538,No,No,No,5,0.595,0.5893,0.5938,0.5961
Tree,CBoW200,200,28.85307,No,No,No,5,0.5921,0.5788,0.64,0.5454
RF,CBoW200,200,34228.3464,No,No,No,5,0.6155,0.6044,0.6411,0.5904
LogisticRegression,CBoW200,200,25.6077,No,No,No,30,0.6062,0.5976,0.6207,0.5921
LDA,CBoW200,200,17.45765,No,No,No,30,0.6059,0.5969,0.623,0.5893
QDA,CBoW200,200,9.821576,No,No,No,30,0.6028,0.5877,0.6563,0.5505
MDA,CBoW200,200,204.37122,No,No,No,30,0.6042,0.5913,0.6435,0.5659
FDA,CBoW200,200,194.30688,No,No,No,30,0.6013,0.589,0.6382,0.5653
Tree,CBoW200,200,29.61127,No,No,No,30,0.5837,0.5689,0.6487,0.5203
RF,CBoW200,200,37910.484,No,No,No,30,0.614,0.6085,0.6131,0.6149
LogisticRegression,CBoW200,200,22.04301,No,No,No,60,0.6181,0.6097,0.6304,0.6062
LDA,CBoW200,200,15.29798,No,No,No,60,0.6184,0.6096,0.6327,0.6045
QDA,CBoW200,200,9.169027,No,No,No,60,0.6063,0.5924,0.6503,0.5634
MDA,CBoW200,200,191.2089,No,No,No,60,0.6077,0.5957,0.6409,0.5753
FDA,CBoW200,200,134.56152,No,No,No,60,0.5988,0.5875,0.6304,0.5679
Tree,CBoW200,200,31.27745,No,No,No,60,0.589,0.5798,0.6099,0.5685
RF,CBoW200,200,30528.396,No,No,No,60,0.6236,0.6224,0.6053,0.6416
LogisticRegression,CBoW100,100,4.247718,Yes,Yes,Yes,0,0.5906,0.5899,0.5617,0.6189
LDA,CBoW100,100,4.467244,Yes,Yes,Yes,0,0.5921,0.5929,0.5558,0.6275
QDA,CBoW100,100,3.07453,Yes,Yes,Yes,0,0.5722,0.6158,0.3559,0.7832
MDA,CBoW100,100,46.97276,Yes,Yes,Yes,0,0.5895,0.5982,0.5143,0.6629
FDA,CBoW100,100,43.99823,Yes,Yes,Yes,0,0.5808,0.5811,0.5424,0.6184
Tree,CBoW100,100,10.2804,Yes,Yes,Yes,0,0.5595,0.5605,0.5009,0.6167
RF,CBoW100,100,7113.6252,Yes,Yes,Yes,0,0.6019,0.6016,0.5745,0.6286
LogisticRegression,CBoW100,100,4.245544,Yes,Yes,Yes,5,0.6093,0.6068,0.5944,0.6239
LDA,CBoW100,100,4.925713,Yes,Yes,Yes,5,0.6053,0.6026,0.5903,0.6199
QDA,CBoW100,100,2.790829,Yes,Yes,Yes,5,0.5998,0.5918,0.6125,0.5873
MDA,CBoW100,100,46.85367,Yes,Yes,Yes,5,0.6058,0.5991,0.6113,0.6005
FDA,CBoW100,100,44.01997,Yes,Yes,Yes,5,0.5943,0.5901,0.5856,0.6027
Tree,CBoW100,100,10.51408,Yes,Yes,Yes,5,0.5611,0.5659,0.4793,0.641
RF,CBoW100,100,7858.2708,Yes,Yes,Yes,5,0.6168,0.6181,0.5874,0.6455
LogisticRegression,CBoW100,100,4.380685,Yes,Yes,Yes,30,0.6004,0.5891,0.6264,0.5751
LDA,CBoW100,100,4.6737,Yes,Yes,Yes,30,0.6016,0.5899,0.6294,0.5746
QDA,CBoW100,100,2.81001,Yes,Yes,Yes,30,0.5911,0.5715,0.6815,0.5032
MDA,CBoW100,100,44.93274,Yes,Yes,Yes,30,0.5957,0.5809,0.6465,0.5463
FDA,CBoW100,100,41.60359,Yes,Yes,Yes,30,0.58,0.5657,0.6377,0.5239
Tree,CBoW100,100,10.18805,Yes,Yes,Yes,30,0.5569,0.547,0.5897,0.525
RF,CBoW100,100,6793.632,Yes,Yes,Yes,30,0.6241,0.6268,0.5867,0.6603
LogisticRegression,CBoW100,100,3.902035,Yes,Yes,Yes,60,0.6048,0.59,0.6257,0.5849
LDA,CBoW100,100,4.238556,Yes,Yes,Yes,60,0.6036,0.5889,0.6239,0.5844
QDA,CBoW100,100,2.70204,Yes,Yes,Yes,60,0.5947,0.5692,0.6997,0.4945
MDA,CBoW100,100,43.77258,Yes,Yes,Yes,60,0.5857,0.573,0.5951,0.5768
FDA,CBoW100,100,36.53865,Yes,Yes,Yes,60,0.5971,0.581,0.6275,0.568
Tree,CBoW100,100,9.85467,Yes,Yes,Yes,60,0.5627,0.5492,0.5841,0.5423
RF,CBoW100,100,5701.3812,Yes,Yes,Yes,60,0.6132,0.6127,0.5651,0.6591
LogisticRegression,CBoW100,100,4.376814,Yes,Yes,No,0,0.5898,0.5868,0.5728,0.6064
LDA,CBoW100,100,4.364342,Yes,Yes,No,0,0.5904,0.588,0.5704,0.6098
QDA,CBoW100,100,2.684727,Yes,Yes,No,0,0.5863,0.6108,0.4477,0.7216
MDA,CBoW100,100,44.1512,Yes,Yes,No,0,0.58,0.586,0.5096,0.6486
FDA,CBoW100,100,39.42526,Yes,Yes,No,0,0.5823,0.5801,0.5587,0.6052
Tree,CBoW100,100,9.52129,Yes,Yes,No,0,0.5618,0.5621,0.5102,0.6121
RF,CBoW100,100,5874.2784,Yes,Yes,No,0,0.6062,0.6042,0.588,0.6241
LogisticRegression,CBoW100,100,4.163448,Yes,Yes,No,5,0.5975,0.5903,0.6055,0.5896
LDA,CBoW100,100,4.657071,Yes,Yes,No,5,0.5992,0.5918,0.6084,0.5902
QDA,CBoW100,100,2.702933,Yes,Yes,No,5,0.6015,0.5891,0.6394,0.5645
MDA,CBoW100,100,44.92621,Yes,Yes,No,5,0.5983,0.5955,0.5833,0.613
FDA,CBoW100,100,38.65548,Yes,Yes,No,5,0.5923,0.5835,0.6108,0.5742
Tree,CBoW100,100,10.1135,Yes,Yes,No,5,0.5741,0.5638,0.6096,0.5394
RF,CBoW100,100,5940.1152,Yes,Yes,No,5,0.6203,0.6167,0.6113,0.629
LogisticRegression,CBoW100,100,4.001727,Yes,Yes,No,30,0.6221,0.6096,0.6503,0.5946
LDA,CBoW100,100,4.178624,Yes,Yes,No,30,0.623,0.6104,0.6515,0.5952
QDA,CBoW100,100,2.513655,Yes,Yes,No,30,0.5976,0.5777,0.6852,0.5124
MDA,CBoW100,100,41.24339,Yes,Yes,No,30,0.6093,0.5991,0.6285,0.5906
FDA,CBoW100,100,40.27369,Yes,Yes,No,30,0.6096,0.5969,0.6421,0.5779
Tree,CBoW100,100,9.978035,Yes,Yes,No,30,0.5915,0.5887,0.5706,0.6118
RF,CBoW100,100,6270.7932,Yes,Yes,No,30,0.6171,0.6254,0.5582,0.6745
LogisticRegression,CBoW100,100,4.69222,Yes,Yes,No,60,0.6083,0.5963,0.6148,0.602
LDA,CBoW100,100,4.711617,Yes,Yes,No,60,0.6118,0.5999,0.6185,0.6055
QDA,CBoW100,100,3.07724,Yes,Yes,No,60,0.5836,0.5624,0.6677,0.5032
MDA,CBoW100,100,40.21202,Yes,Yes,No,60,0.589,0.5749,0.6106,0.5683
FDA,CBoW100,100,36.98209,Yes,Yes,No,60,0.586,0.5705,0.6197,0.5537
Tree,CBoW100,100,11.65468,Yes,Yes,No,60,0.5604,0.5474,0.5826,0.5392
RF,CBoW100,100,6785.4816,Yes,Yes,No,60,0.6086,0.6113,0.5474,0.6671
LogisticRegression,CBoW100,100,4.067415,Yes,No,Yes,0,0.5924,0.5923,0.5605,0.6235
LDA,CBoW100,100,4.142757,Yes,No,Yes,0,0.5932,0.5943,0.5564,0.6292
QDA,CBoW100,100,2.726808,Yes,No,Yes,0,0.582,0.634,0.3635,0.7952
MDA,CBoW100,100,42.69111,Yes,No,Yes,0,0.588,0.5959,0.5155,0.6589
FDA,CBoW100,100,38.34524,Yes,No,Yes,0,0.5875,0.5858,0.5628,0.6115
Tree,CBoW100,100,10.00102,Yes,No,Yes,0,0.5523,0.5442,0.5751,0.5299
RF,CBoW100,100,6323.3568,Yes,No,Yes,0,0.6013,0.5986,0.5856,0.6167
LogisticRegression,CBoW100,100,3.871472,Yes,No,Yes,5,0.5953,0.5915,0.5839,0.6064
LDA,CBoW100,100,3.615524,Yes,No,Yes,5,0.5935,0.59,0.5804,0.6064
QDA,CBoW100,100,2.340581,Yes,No,Yes,5,0.597,0.5877,0.6166,0.5779
MDA,CBoW100,100,37.20617,Yes,No,Yes,5,0.6028,0.5974,0.6002,0.6052
FDA,CBoW100,100,34.35042,Yes,No,Yes,5,0.5924,0.5866,0.5921,0.5927
Tree,CBoW100,100,9.282553,Yes,No,Yes,5,0.5647,0.5676,0.498,0.6298
RF,CBoW100,100,5823.396,Yes,No,Yes,5,0.61,0.606,0.6014,0.6184
LogisticRegression,CBoW100,100,5.566155,Yes,No,Yes,30,0.6089,0.6009,0.6179,0.6002
LDA,CBoW100,100,5.415749,Yes,No,Yes,30,0.6086,0.6002,0.6196,0.5979
QDA,CBoW100,100,3.511863,Yes,No,Yes,30,0.5953,0.576,0.6814,0.5115
MDA,CBoW100,100,61.35972,Yes,No,Yes,30,0.5909,0.5793,0.6249,0.5578
FDA,CBoW100,100,61.41654,Yes,No,Yes,30,0.5892,0.5824,0.592,0.5865
Tree,CBoW100,100,13.765568,Yes,No,Yes,30,0.5628,0.6015,0.338,0.7818
RF,CBoW100,100,9611.0028,Yes,No,Yes,30,0.6171,0.6214,0.5732,0.6598
LogisticRegression,CBoW100,100,4.4161776,Yes,No,Yes,60,0.5861,0.5751,0.6019,0.5709
LDA,CBoW100,100,4.292789,Yes,No,Yes,60,0.5873,0.5762,0.6031,0.5721
QDA,CBoW100,100,2.663994,Yes,No,Yes,60,0.5838,0.5637,0.6748,0.496
MDA,CBoW100,100,42.945,Yes,No,Yes,60,0.5726,0.5554,0.6497,0.4983
FDA,CBoW100,100,39.75384,Yes,No,Yes,60,0.5844,0.5717,0.6121,0.5577
Tree,CBoW100,100,10.69648,Yes,No,Yes,60,0.5559,0.5407,0.6348,0.4798
RF,CBoW100,100,7395.1848,Yes,No,Yes,60,0.6114,0.6132,0.5649,0.6563
LogisticRegression,CBoW100,100,4.059212,Yes,No,No,0,0.5895,0.5889,0.5593,0.6189
LDA,CBoW100,100,4.126938,Yes,No,No,0,0.5883,0.5881,0.5558,0.6201
QDA,CBoW100,100,2.702368,Yes,No,No,0,0.5811,0.6173,0.3998,0.7581
MDA,CBoW100,100,41.86716,Yes,No,No,0,0.5895,0.5992,0.5102,0.6669
FDA,CBoW100,100,38.27063,Yes,No,No,0,0.5869,0.5911,0.5307,0.6418
Tree,CBoW100,100,9.665085,Yes,No,No,0,0.5704,0.5986,0.3957,0.741
RF,CBoW100,100,6248.7108,Yes,No,No,0,0.5996,0.6006,0.5652,0.6332
LogisticRegression,CBoW100,100,6.254562,Yes,No,No,5,0.5941,0.5866,0.6037,0.5847
LDA,CBoW100,100,5.674227,Yes,No,No,5,0.5938,0.5864,0.6032,0.5847
QDA,CBoW100,100,3.796971,Yes,No,No,5,0.588,0.5753,0.6341,0.5431
MDA,CBoW100,100,53.69734,Yes,No,No,5,0.5912,0.589,0.5704,0.6115
FDA,CBoW100,100,50.44675,Yes,No,No,5,0.584,0.5771,0.5903,0.5779
Tree,CBoW100,100,15.18489,Yes,No,No,5,0.5629,0.5552,0.5792,0.5471
RF,CBoW100,100,9094.1688,Yes,No,No,5,0.601,0.5961,0.5961,0.6058
LogisticRegression,CBoW100,100,5.841985,Yes,No,No,30,0.6078,0.5965,0.634,0.5824
LDA,CBoW100,100,5.787011,Yes,No,No,30,0.6087,0.597,0.6363,0.5818
QDA,CBoW100,100,3.397021,Yes,No,No,30,0.58,0.5628,0.6657,0.4966
MDA,CBoW100,100,65.74698,Yes,No,No,30,0.6101,0.5963,0.6492,0.5721
FDA,CBoW100,100,66.0261,Yes,No,No,30,0.6055,0.5922,0.6434,0.5686
Tree,CBoW100,100,14.74047,Yes,No,No,30,0.5704,0.5646,0.5646,0.5761
RF,CBoW100,100,9335.4912,Yes,No,No,30,0.6243,0.6253,0.5952,0.6527
LogisticRegression,CBoW100,100,6.222689,Yes,No,No,60,0.6062,0.5936,0.6289,0.5842
LDA,CBoW100,100,6.117361,Yes,No,No,60,0.6039,0.591,0.6284,0.5802
QDA,CBoW100,100,3.862477,Yes,No,No,60,0.5863,0.5645,0.6909,0.4853
MDA,CBoW100,100,59.67836,Yes,No,No,60,0.5886,0.5755,0.62,0.5584
FDA,CBoW100,100,57.12278,Yes,No,No,60,0.5802,0.5695,0.5956,0.5653
Tree,CBoW100,100,15.58926,Yes,No,No,60,0.5617,0.5594,0.5074,0.6141
RF,CBoW100,100,10195.1244,Yes,No,No,60,0.6021,0.6039,0.5521,0.6504
LogisticRegression,CBoW100,100,4.079218,No,Yes,Yes,0,0.6013,0.599,0.5833,0.6189
LDA,CBoW100,100,4.251848,No,Yes,Yes,0,0.5999,0.5977,0.5809,0.6184
QDA,CBoW100,100,2.590921,No,Yes,Yes,0,0.5979,0.6323,0.4442,0.7479
MDA,CBoW100,100,42.9664,No,Yes,Yes,0,0.5889,0.5881,0.5599,0.6172
FDA,CBoW100,100,38.51346,No,Yes,Yes,0,0.5967,0.5963,0.5681,0.6246
Tree,CBoW100,100,9.907466,No,Yes,Yes,0,0.5779,0.5596,0.6832,0.4752
RF,CBoW100,100,6272.0316,No,Yes,Yes,0,0.6097,0.6017,0.6207,0.599
LogisticRegression,CBoW100,100,6.339222,No,Yes,Yes,5,0.5979,0.5927,0.5944,0.6013
LDA,CBoW100,100,5.772991,No,Yes,Yes,5,0.5976,0.5921,0.5956,0.5995
QDA,CBoW100,100,3.945378,No,Yes,Yes,5,0.5944,0.5869,0.6037,0.5853
MDA,CBoW100,100,62.87634,No,Yes,Yes,5,0.6013,0.5956,0.6008,0.6018
FDA,CBoW100,100,52.05614,No,Yes,Yes,5,0.5924,0.586,0.5956,0.5893
Tree,CBoW100,100,15.07284,No,Yes,Yes,5,0.5753,0.5614,0.6411,0.5111
RF,CBoW100,100,9865.872,No,Yes,Yes,5,0.6137,0.6072,0.6172,0.6104
LogisticRegression,CBoW100,100,4.16724,No,Yes,Yes,30,0.5996,0.5909,0.6154,0.5841
LDA,CBoW100,100,4.130872,No,Yes,Yes,30,0.5996,0.5902,0.6195,0.5801
QDA,CBoW100,100,2.585392,No,Yes,Yes,30,0.5889,0.5711,0.6733,0.5066
MDA,CBoW100,100,44.09884,No,Yes,Yes,30,0.5947,0.5803,0.6482,0.5425
FDA,CBoW100,100,38.69436,No,Yes,Yes,30,0.608,0.5963,0.6388,0.5779
Tree,CBoW100,100,9.907455,No,Yes,Yes,30,0.5727,0.569,0.5564,0.5887
RF,CBoW100,100,6290.4528,No,Yes,Yes,30,0.6155,0.6096,0.616,0.6149
LogisticRegression,CBoW100,100,4.069354,No,Yes,Yes,60,0.6067,0.5991,0.6152,0.5984
LDA,CBoW100,100,4.465898,No,Yes,Yes,60,0.6061,0.5975,0.6199,0.5927
QDA,CBoW100,100,2.528409,No,Yes,Yes,60,0.5957,0.577,0.6795,0.514
MDA,CBoW100,100,41.99754,No,Yes,Yes,60,0.6053,0.5894,0.6614,0.5505
FDA,CBoW100,100,38.31769,No,Yes,Yes,60,0.5983,0.5836,0.6509,0.5471
Tree,CBoW100,100,10.16034,No,Yes,Yes,60,0.5813,0.5634,0.676,0.4889
RF,CBoW100,100,6327.7452,No,Yes,Yes,60,0.6185,0.612,0.6216,0.6155
LogisticRegression,CBoW100,100,4.050404,No,Yes,No,0,0.6031,0.5995,0.5915,0.6144
LDA,CBoW100,100,4.389123,No,Yes,No,0,0.6039,0.6,0.5944,0.6132
QDA,CBoW100,100,2.544185,No,Yes,No,0,0.5979,0.6147,0.498,0.6954
MDA,CBoW100,100,41.92474,No,Yes,No,0,0.6005,0.5958,0.5944,0.6064
FDA,CBoW100,100,38.3453,No,Yes,No,0,0.6051,0.6002,0.6002,0.6098
Tree,CBoW100,100,9.854121,No,Yes,No,0,0.5987,0.5843,0.6505,0.5482
RF,CBoW100,100,6265.5876,No,Yes,No,0,0.6172,0.6074,0.6365,0.5984
LogisticRegression,CBoW100,100,4.05122,No,Yes,No,5,0.5982,0.5901,0.6108,0.5859
LDA,CBoW100,100,4.316074,No,Yes,No,5,0.5984,0.5901,0.6125,0.5847
QDA,CBoW100,100,2.500779,No,Yes,No,5,0.5912,0.5817,0.6137,0.5693
MDA,CBoW100,100,41.39406,No,Yes,No,5,0.5996,0.5898,0.6219,0.5779
FDA,CBoW100,100,38.2452,No,Yes,No,5,0.5953,0.5872,0.6078,0.583
Tree,CBoW100,100,10.04137,No,Yes,No,5,0.5843,0.5794,0.578,0.5904
RF,CBoW100,100,6273.8172,No,Yes,No,5,0.6097,0.5998,0.6306,0.5893
LogisticRegression,CBoW100,100,4.079873,No,Yes,No,30,0.6068,0.5976,0.6242,0.5898
LDA,CBoW100,100,4.238239,No,Yes,No,30,0.6077,0.598,0.6277,0.5881
QDA,CBoW100,100,2.720249,No,Yes,No,30,0.597,0.5788,0.6762,0.5197
MDA,CBoW100,100,41.06977,No,Yes,No,30,0.5984,0.5858,0.6382,0.5596
FDA,CBoW100,100,38.92631,No,Yes,No,30,0.5872,0.5772,0.6143,0.5608
Tree,CBoW100,100,10.15383,No,Yes,No,30,0.5751,0.5685,0.5798,0.5705
RF,CBoW100,100,6321.5676,No,Yes,No,30,0.6051,0.5988,0.6072,0.603
LogisticRegression,CBoW100,100,4.036547,No,Yes,No,60,0.6051,0.5939,0.6341,0.5767
LDA,CBoW100,100,4.294033,No,Yes,No,60,0.6033,0.5918,0.6347,0.5727
QDA,CBoW100,100,2.70465,No,Yes,No,60,0.5961,0.5767,0.6856,0.5088
MDA,CBoW100,100,38.99775,No,Yes,No,60,0.5777,0.563,0.6476,0.5094
FDA,CBoW100,100,38.43995,No,Yes,No,60,0.5892,0.5768,0.6324,0.5471
Tree,CBoW100,100,9.930258,No,Yes,No,60,0.586,0.5845,0.5599,0.6115
RF,CBoW100,100,6308.9172,No,Yes,No,60,0.6166,0.6106,0.6178,0.6155
LogisticRegression,CBoW100,100,4.059095,No,No,Yes,0,0.6028,0.6002,0.5862,0.6189
LDA,CBoW100,100,4.375962,No,No,Yes,0,0.6022,0.5994,0.5868,0.6172
QDA,CBoW100,100,2.582154,No,No,Yes,0,0.5961,0.6378,0.422,0.7661
MDA,CBoW100,100,40.924,No,No,Yes,0,0.595,0.5949,0.564,0.6252
FDA,CBoW100,100,38.31203,No,No,Yes,0,0.5941,0.5936,0.5652,0.6224
Tree,CBoW100,100,9.976655,No,No,Yes,0,0.5834,0.581,0.5617,0.6047
RF,CBoW100,100,6224.1912,No,No,Yes,0,0.6097,0.6026,0.616,0.6035
LogisticRegression,CBoW100,100,4.094339,No,No,Yes,5,0.6036,0.5975,0.6055,0.6018
LDA,CBoW100,100,4.167537,No,No,Yes,5,0.6042,0.5977,0.6078,0.6007
QDA,CBoW100,100,2.606693,No,No,Yes,5,0.5973,0.5869,0.6236,0.5716
MDA,CBoW100,100,40.05432,No,No,Yes,5,0.6074,0.6006,0.6125,0.6024
FDA,CBoW100,100,38.29604,No,No,Yes,5,0.6022,0.5957,0.6055,0.599
Tree,CBoW100,100,9.884693,No,No,Yes,5,0.5803,0.5667,0.6382,0.5237
RF,CBoW100,100,6266.2536,No,No,Yes,5,0.6186,0.6112,0.6265,0.611
LogisticRegression,CBoW100,100,4.054769,No,No,Yes,30,0.6113,0.605,0.6135,0.6092
LDA,CBoW100,100,4.237899,No,No,Yes,30,0.6133,0.6068,0.6164,0.6104
QDA,CBoW100,100,2.720772,No,No,Yes,30,0.5908,0.5739,0.6655,0.518
MDA,CBoW100,100,40.7245,No,No,Yes,30,0.6076,0.5969,0.6322,0.5836
FDA,CBoW100,100,38.30776,No,No,Yes,30,0.5977,0.5884,0.617,0.579
Tree,CBoW100,100,9.746563,No,No,Yes,30,0.5741,0.5733,0.5374,0.6098
RF,CBoW100,100,6257.1096,No,No,Yes,30,0.6266,0.6237,0.6146,0.6383
LogisticRegression,CBoW100,100,6.501812,No,No,Yes,60,0.6189,0.6091,0.6372,0.601
LDA,CBoW100,100,5.897806,No,No,Yes,60,0.618,0.6072,0.6413,0.5953
QDA,CBoW100,100,3.994527,No,No,Yes,60,0.6044,0.5837,0.6934,0.5177
MDA,CBoW100,100,69.99288,No,No,Yes,60,0.6082,0.5941,0.6518,0.5656
FDA,CBoW100,100,65.69286,No,No,Yes,60,0.6094,0.5958,0.6495,0.5702
Tree,CBoW100,100,15.79752,No,No,Yes,60,0.5842,0.5727,0.6226,0.5468
RF,CBoW100,100,10062.4644,No,No,Yes,60,0.6287,0.6263,0.615,0.6421
LogisticRegression,CBoW100,100,4.109729,No,No,No,0,0.6025,0.596,0.6061,0.599
LDA,CBoW100,100,4.266534,No,No,No,0,0.6013,0.5949,0.6043,0.5984
QDA,CBoW100,100,2.623358,No,No,No,0,0.5924,0.6153,0.4664,0.7153
MDA,CBoW100,100,41.55606,No,No,No,0,0.6085,0.6062,0.5921,0.6246
FDA,CBoW100,100,38.34339,No,No,No,0,0.6039,0.6017,0.5862,0.6212
Tree,CBoW100,100,9.855797,No,No,No,0,0.5814,0.5661,0.6534,0.5111
RF,CBoW100,100,6391.818,No,No,No,0,0.6195,0.6106,0.6341,0.6052
LogisticRegression,CBoW100,100,6.411598,No,No,No,5,0.5979,0.5891,0.6143,0.5819
LDA,CBoW100,100,6.253052,No,No,No,5,0.5999,0.5906,0.6189,0.5813
QDA,CBoW100,100,4.099835,No,No,No,5,0.5961,0.5832,0.6388,0.5545
MDA,CBoW100,100,57.90672,No,No,No,5,0.5901,0.5845,0.588,0.5921
FDA,CBoW100,100,53.81602,No,No,No,5,0.5892,0.5832,0.5897,0.5887
Tree,CBoW100,100,15.56244,No,No,No,5,0.5791,0.5737,0.5757,0.5824
RF,CBoW100,100,10199.0268,No,No,No,5,0.6109,0.6043,0.6148,0.607
LogisticRegression,CBoW100,100,7.992635,No,No,No,30,0.6103,0.6026,0.6195,0.6013
LDA,CBoW100,100,7.783223,No,No,No,30,0.6109,0.6024,0.6242,0.5978
QDA,CBoW100,100,4.187982,No,No,No,30,0.5956,0.576,0.6867,0.5066
MDA,CBoW100,100,87.88554,No,No,No,30,0.5987,0.5841,0.6517,0.5471
FDA,CBoW100,100,106.77858,No,No,No,30,0.597,0.5878,0.616,0.5784
Tree,CBoW100,100,17.44397,No,No,No,30,0.5797,0.5637,0.6598,0.5014
RF,CBoW100,100,10582.4556,No,No,No,30,0.6143,0.6073,0.6201,0.6087
LogisticRegression,CBoW100,100,5.204605,No,No,No,60,0.6077,0.5993,0.6211,0.5947
LDA,CBoW100,100,5.247245,No,No,No,60,0.6066,0.5971,0.6257,0.5879
QDA,CBoW100,100,3.217679,No,No,No,60,0.5919,0.5747,0.6684,0.5171
MDA,CBoW100,100,45.71885,No,No,No,60,0.5945,0.5811,0.6409,0.5491
FDA,CBoW100,100,40.53997,No,No,No,60,0.5942,0.5816,0.6357,0.5537
Tree,CBoW100,100,12.96277,No,No,No,60,0.5939,0.5786,0.6544,0.5348
RF,CBoW100,100,9837.2052,No,No,No,60,0.6285,0.6302,0.6,0.6564
LogisticRegression,CBoW768,768,158.68632,Yes,Yes,Yes,0,0.5814,0.5808,0.5482,0.6138
LDA,CBoW768,768,87.33954,Yes,Yes,Yes,0,0.5814,0.5816,0.5435,0.6184
QDA,CBoW768,768,48.72855,Yes,Yes,Yes,0,0.5866,0.6315,0.3916,0.777
MDA,CBoW768,768,914.091,Yes,Yes,Yes,0,0.5797,0.5842,0.5172,0.6406
FDA,CBoW768,768,340.36926,Yes,Yes,Yes,0,0.5875,0.5848,0.5681,0.6064
Tree,CBoW768,768,73.2165,Yes,Yes,Yes,0,0.5606,0.551,0.5967,0.5254
RF,CBoW768,768,115659.4464,Yes,Yes,Yes,0,0.5976,0.594,0.5856,0.6092
LogisticRegression,CBoW768,768,253.24812,Yes,Yes,Yes,5,0.6053,0.6035,0.5862,0.6239
LDA,CBoW768,768,132.48996,Yes,Yes,Yes,5,0.6012,0.5998,0.5798,0.6221
QDA,CBoW768,768,86.9886,Yes,Yes,Yes,5,0.6084,0.6276,0.5102,0.7043
MDA,CBoW768,768,1461.3924,Yes,Yes,Yes,5,0.6061,0.6093,0.5652,0.6461
FDA,CBoW768,768,796.701,Yes,Yes,Yes,5,0.6064,0.6052,0.585,0.6273
Tree,CBoW768,768,92.43906,Yes,Yes,Yes,5,0.5784,0.5624,0.661,0.4977
RF,CBoW768,768,114137.3376,Yes,Yes,Yes,5,0.6136,0.6103,0.6032,0.6239
LogisticRegression,CBoW768,768,164.08164,Yes,Yes,Yes,30,0.6095,0.6014,0.6163,0.6028
LDA,CBoW768,768,89.8977,Yes,Yes,Yes,30,0.6071,0.5988,0.6152,0.5993
QDA,CBoW768,768,49.63727,Yes,Yes,Yes,30,0.6039,0.5979,0.6004,0.6074
MDA,CBoW768,768,879.2292,Yes,Yes,Yes,30,0.596,0.587,0.6092,0.5832
FDA,CBoW768,768,309.97146,Yes,Yes,Yes,30,0.5949,0.5828,0.627,0.5636
Tree,CBoW768,768,71.81202,Yes,Yes,Yes,30,0.5759,0.5735,0.5453,0.6056
RF,CBoW768,768,116057.0592,Yes,Yes,Yes,30,0.6214,0.6248,0.5808,0.6609
LogisticRegression,CBoW768,768,2241.3654,Yes,Yes,Yes,60,0.6057,0.5981,0.5872,0.6235
LDA,CBoW768,768,82.76376,Yes,Yes,Yes,60,0.6019,0.5907,0.6012,0.6025
QDA,CBoW768,768,NA,Yes,Yes,Yes,60,NA,NA,NA,NA
MDA,CBoW768,768,NA,Yes,Yes,Yes,60,NA,NA,NA,NA
FDA,CBoW768,768,NA,Yes,Yes,Yes,60,NA,NA,NA,NA
Tree,CBoW768,768,68.66988,Yes,Yes,Yes,60,0.5582,0.554,0.4893,0.6241
RF,CBoW768,768,116624.1888,Yes,Yes,Yes,60,0.621,0.623,0.567,0.6725
LogisticRegression,CBoW768,768,156.16506,Yes,Yes,No,0,0.5953,0.5946,0.5675,0.6224
LDA,CBoW768,768,86.64318,Yes,Yes,No,0,0.5982,0.5978,0.5698,0.6258
QDA,CBoW768,768,47.28594,Yes,Yes,No,0,0.5901,0.6414,0.3857,0.7895
MDA,CBoW768,768,863.9118,Yes,Yes,No,0,0.5777,0.581,0.5196,0.6343
FDA,CBoW768,768,290.36898,Yes,Yes,No,0,0.5684,0.5684,0.5243,0.6115
Tree,CBoW768,768,70.19466,Yes,Yes,No,0,0.5624,0.5596,0.5348,0.5893
RF,CBoW768,768,107188.4448,Yes,Yes,No,0,0.6013,0.5988,0.5845,0.6178
LogisticRegression,CBoW768,768,155.52126,Yes,Yes,No,5,0.6168,0.6148,0.6008,0.6324
LDA,CBoW768,768,86.47032,Yes,Yes,No,5,0.6142,0.6115,0.6008,0.6273
QDA,CBoW768,768,47.96137,Yes,Yes,No,5,0.6162,0.6349,0.5254,0.7049
